,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,profit,critc_review_ratio,content_rating_0,content_rating_1,content_rating_2,content_rating_3,content_rating_4,country_0,country_1,country_2
0,178.0,0.0,855.0,1000.0,Avatar ,886204,4834,2.392235609103079,2009.0,936.0,7.9,33000,523505847.0,0.23673870333988212,0,0,0,1,0,0,0,1
1,169.0,563.0,1000.0,40000.0,Pirates of the Caribbean: At World's End ,471220,48350,2.392235609103079,2007.0,5000.0,7.1,0,9404152.0,0.24394184168012925,0,0,0,1,0,0,0,1
2,148.0,0.0,161.0,11000.0,Spectre ,275868,11700,1.0,2015.0,393.0,6.8,85000,-44925825.0,0.6056338028169014,0,0,0,1,0,0,1,0
3,164.0,22000.0,23000.0,27000.0,The Dark Knight Rises ,1144337,106759,2.392235609103079,2012.0,23000.0,8.5,164000,198130642.0,0.30099962976675304,0,0,0,1,0,0,0,1
5,132.0,475.0,530.0,640.0,John Carter ,212204,1873,1.0,2012.0,632.0,6.6,24000,-190641321.0,0.6260162601626016,0,0,0,1,0,0,0,1
6,156.0,0.0,4000.0,24000.0,Spider-Man 3 ,383056,46055,2.392235609103079,2007.0,11000.0,6.2,0,78530303.0,0.20609884332281808,0,0,0,1,0,0,0,1
7,100.0,15.0,284.0,799.0,Tangled ,294810,2036,1.0,2010.0,553.0,7.8,29000,-59192738.0,0.8372093023255814,0,0,1,0,0,0,0,1
8,141.0,0.0,19000.0,26000.0,Avengers: Age of Ultron ,462669,92000,4.0,2015.0,21000.0,7.5,118000,208991599.0,0.5684870188003581,0,0,0,1,0,0,0,1
9,153.0,282.0,10000.0,25000.0,Harry Potter and the Half-Blood Prince ,321795,58753,3.0,2009.0,11000.0,7.5,10000,51956980.0,0.3854059609455293,0,0,1,0,0,0,1,0
10,183.0,0.0,2000.0,15000.0,Batman v Superman: Dawn of Justice ,371639,24450,2.392235609103079,2016.0,4000.0,6.9,197000,80249062.0,0.2229953611663353,0,0,0,1,0,0,0,1
11,169.0,0.0,903.0,18000.0,Superman Returns ,240396,29991,2.392235609103079,2006.0,10000.0,6.1,0,-8930592.0,0.18335445711871567,0,0,0,1,0,0,0,1
12,106.0,395.0,393.0,451.0,Quantum of Solace ,330784,2023,1.0,2008.0,412.0,6.7,0,-31631573.0,0.3242156074014481,0,0,0,1,0,0,1,0
13,151.0,563.0,1000.0,40000.0,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,2.0,2006.0,5000.0,7.3,5000,198032628.0,0.17085152838427947,0,0,0,1,0,0,0,1
14,150.0,563.0,1000.0,40000.0,The Lone Ranger ,181792,45757,1.0,2013.0,2000.0,6.5,48000,-125710090.0,0.6329113924050633,0,0,0,1,0,0,0,1
15,143.0,0.0,748.0,15000.0,Man of Steel ,548573,20495,2.392235609103079,2013.0,3000.0,7.2,118000,66021565.0,0.2890378548895899,0,0,0,1,0,0,0,1
16,150.0,80.0,201.0,22000.0,The Chronicles of Narnia: Prince Caspian ,149922,22697,4.0,2008.0,216.0,6.6,0,-83385977.0,0.589041095890411,0,0,1,0,0,0,0,1
17,173.0,0.0,19000.0,26000.0,The Avengers ,995415,87697,3.0,2012.0,21000.0,8.1,123000,403279547.0,0.40824622531939603,0,0,0,1,0,0,0,1
18,136.0,252.0,1000.0,40000.0,Pirates of the Caribbean: On Stranger Tides ,370704,54083,4.0,2011.0,11000.0,6.7,58000,-8936125.0,0.9256198347107438,0,0,0,1,0,0,0,1
19,106.0,188.0,718.0,10000.0,Men in Black 3 ,268154,12572,1.0,2012.0,816.0,6.8,40000,-45979146.0,1.3225806451612903,0,0,0,1,0,0,0,1
20,164.0,0.0,773.0,5000.0,The Hobbit: The Battle of the Five Armies ,354228,9152,2.392235609103079,2014.0,972.0,7.5,65000,5108370.0,0.5261845386533666,0,0,0,1,0,1,0,0
21,153.0,464.0,963.0,15000.0,The Amazing Spider-Man ,451803,28489,2.392235609103079,2012.0,10000.0,7.0,56000,32030663.0,0.4889795918367347,0,0,0,1,0,0,0,1
22,156.0,0.0,738.0,891.0,Robin Hood ,211765,3244,2.392235609103079,2010.0,882.0,6.7,17000,-94780265.0,0.6282051282051282,0,0,0,1,0,0,0,1
23,186.0,0.0,773.0,5000.0,The Hobbit: The Desolation of Smaug ,483540,9152,6.0,2013.0,972.0,7.9,83000,33355354.0,0.5352260778128286,0,0,0,1,0,0,0,1
24,113.0,129.0,1000.0,16000.0,The Golden Compass ,149019,24106,2.0,2007.0,6000.0,6.1,0,-109916481.0,0.3768768768768769,0,0,0,1,0,0,0,1
25,201.0,0.0,84.0,6000.0,King Kong ,316018,7123,2.392235609103079,2005.0,919.0,7.2,0,11051260.0,0.1703590527119939,0,0,0,1,0,1,0,0
26,194.0,0.0,794.0,29000.0,Titanic ,793059,45223,2.392235609103079,1997.0,14000.0,7.7,26000,458672302.0,0.12460443037974683,0,0,0,1,0,0,0,1
27,147.0,94.0,11000.0,21000.0,Captain America: Civil War ,272670,64798,2.392235609103079,2016.0,19000.0,8.2,72000,157197282.0,0.5048923679060665,0,0,0,1,0,0,0,1
28,131.0,532.0,627.0,14000.0,Battleship ,202382,26679,2.392235609103079,2012.0,10000.0,5.9,44000,-143826840.0,0.5019973368841545,0,0,0,1,0,0,0,1
29,124.0,365.0,1000.0,3000.0,Jurassic World ,418214,8458,2.392235609103079,2015.0,2000.0,7.0,150000,502177271.0,0.4992248062015504,0,0,0,1,0,0,0,1
30,143.0,0.0,393.0,883.0,Skyfall ,522030,2039,2.392235609103079,2012.0,563.0,7.8,80000,104360277.0,0.5006675567423231,0,0,0,1,0,0,1,0
31,135.0,0.0,4000.0,24000.0,Spider-Man 2 ,411164,43388,1.0,2004.0,11000.0,7.3,0,173377893.0,0.23023791250959325,0,0,0,1,0,0,0,1
32,195.0,1000.0,3000.0,21000.0,Iron Man 3 ,557489,30426,3.0,2013.0,4000.0,7.2,95000,208992272.0,0.5122156697556866,0,0,0,1,0,0,0,1
33,108.0,13000.0,11000.0,40000.0,Alice in Wonderland ,306320,79957,2.392235609103079,2010.0,25000.0,6.5,24000,134185206.0,0.6127717391304348,0,0,1,0,0,0,0,1
34,104.0,420.0,560.0,20000.0,X-Men: The Last Stand ,383427,21714,2.392235609103079,2006.0,808.0,6.8,0,24360014.0,0.17468619246861924,0,0,0,1,0,1,0,0
35,104.0,37.0,760.0,12000.0,Monsters University ,235025,14863,2.392235609103079,2013.0,779.0,7.3,44000,68488329.0,1.4188679245283018,1,0,0,0,0,0,0,1
36,150.0,0.0,464.0,894.0,Transformers: Revenge of the Fallen ,323207,3218,2.392235609103079,2009.0,581.0,6.0,0,202076689.0,0.2543432939541348,0,0,0,1,0,0,0,1
37,165.0,0.0,808.0,974.0,Transformers: Age of Extinction ,242420,3988,2.0,2014.0,956.0,5.7,56000,35428137.0,0.4117647058823529,0,0,0,1,0,0,0,1
